id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
1,1,9,Apple,170,62,4,100,173,5,Straightforward
2,1,7,Android,165,50,4,115,209,9.59,Homo sapiens
3,1,2,Android,175,75,5,50,200,1,I am so handsome
4,1,10,Apple,162,43,5,180,6666,87,handsome
5,1,2,Apple,163,65,2,100,323,2,i?謋?lazy.
6,1,12,Apple,125,125,3,87,0,0,Ah
7,2,12,Apple,155,53,5,100,300,1,BlingBling
8,1,10,Apple,164,71,1,95,150,20,I love fishing.
9,1,12,Apple,173,70,5,100,200,0,IMMGT
10,1,1,Apple,175,82,2,90,300,0.2,I'm so cute
11,1,11,Android,178,68,5,120,1100,0.1,Gentle
12,1,1,Android,173,69,4,120,280,2,I am geek.
13,1,5,Apple,165,62,3,87,300,0.87,Nihilisim
14,1,1,Apple,175,7,5,100,1000,0.06,I?謏?handsome
15,1,7,Apple,183.9,59,3,180,3,333,Six six six
16,2,4,Android,157,70,4,122,350,0.79,I don't want to be defined.
17,1,8,Android,171,44,4,100,300,2.41,I'm nice
18,2,11,Apple,163,55,3,110,300,0,misaka mikoto
19,2,6,Apple,160,55,5,146,500,8.2,"I'm a common girl, just like others."
20,2,5,Apple,168,49,1,87,2000,99999,Hi
21,1,4,Apple,180,70,4,100,100,100,Hello
22,2,3,Android,154,46,5,120,70,0.01,Optimistic
23,1,7,Android,173,58,5,130,200,38,Good Morning
24,2,5,Android,158,49,5,130,403,0,introvert
25,1,1,Apple,171,70,4,180,480,0.87,I am a student.
26,1,6,Android,210,78,2,100,3,60,Dope
27,1,5,Android,171,56,3,100,200,2,Tired.
28,1,2,Apple,176,76,4,100,10,10,Nice!
29,1,3,Android,180,68,4,180,250,1,I love Metallica!
30,1,3,Android,176,65,5,180,500,1,Specialist
31,1,11,Apple,175,70,4,50,5000,666,I?謏?sorry
32,1,12,Android,170,61,3,88,500,2,Shiny guy
33,1,5,Apple,165,74,2,140,350,4,Hello world
34,2,12,JohnCena,900,10,5,199,10,1,good
35,1,8,Apple,177,58,3,130,600,15,Handsome
36,1,5,Android,179,80,3,105,200,100,humble
37,1,5,Android,172,72,3,120,120,10,Good
38,1,8,Apple,179,63,4,100,150,3,I?謏?happy.
39,1,1,Android,171,60,2,56,574,1.5,good
40,1,7,Apple,168,85,5,150,350,5,I'm a nice people.
41,1,9,Android,176,80,5,120,500,2,Tired
42,1,6,Android,167,57,3,105,250,1.5,I'm adaptive and hardworking.
43,2,9,Android,161,51,4,110,600,0,Finding myself.
44,1,11,Android,169,60,3,120,233,3,I'm friendly
45,1,11,Android,166,70,3,110,400,14.32,I am a man with power to breath!
46,1,9,Android,175,68,5,123,500,1.7,I am a wise man
47,1,11,Android,176,78,3,100,251,1.5,a man
48,2,7,Android,150,80,3,85,2,1,Kindness
49,1,5,Android,170,80,5,129,471,0.03,handsome boy
50,1,8,Android,169,72,3,87,550,0.1,I'm a nerd.
51,1,1,Apple,182,70,3,120,828,0.9,gorgeous
52,2,9,Android,162,55,3,110,500,2,Born with an adventurous spirit
53,1,5,Android,170,65,4,120,594,1,I am a infinity man
54,2,12,Android,158,47,3,115,1330,5.8,Awesome
55,1,6,Android,166,66,4,90,1000,1,I hope i am a super hero.
56,1,12,Android,173,68,3,66,300,10,super 666666
