id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
1,2,6,1,154.0000002,43,3,132.250002,583.000011,0,Beautiful
2,2,6,1,156.0000003,47.0000001,3,130.0000042,575.6829378,3.500000093,Enjoying being who I'm notsss
3,1,9,2,170.0000003,61.00000083,3,90.00000209,540.000008,3.881536554,Practice Makes perfect
4,1,9,1,170.0000003,62.00000077,4,100.0000015,446.5263317,5.000000145,Straightforward
5,2,9,2,158.0000003,66.99999893,3,127.9999971,319.9999891,1.199999945,Humorous
6,2,6,2,161.0321424,54.38461581,3,100.0000015,902.9999989,1.999999949,I am cute
7,1,7,2,173.7249807,50.00000045,4,115.0000006,208.9999973,9.590000099,
8,2,3,2,169.9999997,57.00000048,4,100.0000015,1200,2.510735898,Um..Haha
9,2,9,2,167.9999996,54.38461581,2,132.250002,580.0000128,5.339999969,I am quite.
10,2,1,1,165.0000005,54.99999946,5,130.0000042,575.6829378,1.999999949,Beautiful
11,2,7,2,163.9999995,54.38461581,3,180.0000012,300.000001,0.999999975,Beautiful and smart
12,2,6,2,167.9999996,54.99999946,2,132.250002,300.000001,2.510735898,Beautiful and smart
13,2,12,1,161.0321424,59.99999979,3,200,159.9999951,2.510735898,Brilliant
14,1,11,2,173.7249807,53.00000027,4,122.2923055,300.0000045,2.500000072,Work hard play hard
15,2,3,1,163.0000005,52.00000015,5,97.99999893,575.6829378,1.999999949,Q
16,2,6,1,154.0000002,43,3,132.250002,583.000011,0,Beautiful
17,2,6,1,156.0000003,47.0000001,3,130.0000042,400.000001,3.500000093,Enjoying being who I'm not
18,1,9,2,170.0000003,61.00000083,3,90.00000209,540.000008,5.000000145,
19,1,9,1,170.0000003,62.00000077,4,100.0000015,172.9999967,5.000000145,Straightforward
20,2,6,2,158.0000003,66.99999893,3,127.9999971,319.9999891,1.199999945,
21,2,10,2,161.0321424,50.00000024,3,132.250002,902.9999989,1.999999949,I am cute
22,1,7,2,165.0000006,50.00000045,4,115.0000006,208.9999973,9.590000099,Homo sapiens
23,2,3,2,169.9999997,57.00000048,3,132.250002,575.6829378,2.510735898,
24,2,9,2,167.9999996,54.38461581,2,132.250002,580.0000128,2.510735898,I am quite.
25,2,1,1,165.0000005,54.38461581,5,130.0000042,541.9999759,2.510735898,Beautiful
26,2,6,2,163.9999995,52.00000015,3,180.0000012,300.000001,0.999999975,Beautiful and smart
27,2,6,2,167.9999996,54.99999946,2,180.0000012,300.000001,2.510735898,
28,2,12,2,161.0321424,59.99999979,3,200,159.9999951,2.510735898,Brilliant
29,1,11,2,168.0000007,53.00000027,3,100.0000015,300.0000045,2.500000072,Work hard play hard
30,2,3,1,163.0000005,52.00000015,5,132.250002,1200,2.510735898,Q
31,1,2,2,175,75,5,50,199.9999971,0.999999967,I am so handsome
32,1,9,2,168.9999998,75,1,122.2923055,0,3.881536554,I just wanna run.
33,1,9,2,168.9999998,75,3,90.00000209,0,3.881536554,I just wanna run.
34,1,10,2,173.7249807,60.00000089,3,122.2923055,403.9999826,0.369999986,Surprising
35,1,10,1,173.7249807,55.00000015,3,199.000001,611.0000208,0,
36,1,10,1,161.9999997,43.00000008,5,180.0000012,446.5263317,3.881536554,handsome
37,1,10,1,173.7249807,67.58064419,5,100.0000015,49.99999928,3.881536554,Fake
38,1,7,2,175,67.58064419,5,122.2923055,446.5263317,3.881536554,I am fine thank u
39,2,6,2,161.0321424,47.99999978,2,132.250002,575.6829378,3.999999898,tired
40,2,11,1,163.0000005,47.99999978,2,132.250002,250.000001,3.999999898,tired
41,1,11,2,165.0000006,67.58064419,2,105.0000012,799.9999885,2.999999902,
42,1,7,2,168.9999998,73.00000012,5,105.0000012,66.99999807,1.700000006,Lazy
43,1,4,1,175,80.00000179,4,120.0000003,499.9999841,0.187000009,
44,1,7,1,175,50.00000045,5,100.0000015,468.9999953,10.00000029,I am fakes' fans
45,1,7,1,173.0000004,74.00000006,1,180.0000012,600.0000089,5.000000145,Hi
