id,gender,height,weight,iq,fb_friends,yt,self_intro
1,2,154.0000002,43,132.250002,582.9999879,0,Beautiful
2,2,156.0000003,47.00000003,130.0000042,540.0749872,3.500000083,Enjoying being who I'm notsss
3,1,170.0000003,60.99999964,90.00000209,539.9999824,2.79155239,Practice Makes perfect
4,1,170.0000003,62.00000048,100.0000015,415.2892763,5.000000069,Straightforward
5,2,158.0000003,67.00000018,127.9999971,320.0000073,1.199999955,Humorous
6,2,161.0321424,53.02702668,100.0000015,902.9999943,2.000000048,I am cute
7,1,173.5054579,50.0000003,115.0000006,209.0000073,9.59000034,
8,2,169.9999997,56.9999997,100.0000015,1199.999959,2.087827188,Um..Haha
9,2,167.9999996,53.02702668,132.250002,579.9999893,5.339999795,I am quite.
10,2,165.0000005,55.00000009,130.0000042,540.0749872,2.000000048,Beautiful
11,2,163.9999995,53.02702668,180.0000012,299.9999904,1.000000024,Beautiful and smart
12,2,167.9999996,55.00000009,132.250002,299.9999904,2.087827188,Beautiful and smart
13,2,161.0321424,59.99999952,200,160.0000041,2.087827188,Brilliant
14,1,173.5054579,53.00000012,122.2923055,300.0000079,2.500000034,Work hard play hard
15,2,163.0000005,52.00000027,97.99999893,540.0749872,2.000000048,Q
16,2,154.0000002,43,132.250002,582.9999879,0,Beautiful
17,2,156.0000003,47.00000003,130.0000042,399.9999957,3.500000083,Enjoying being who I'm not
18,1,170.0000003,60.99999964,90.00000209,539.9999824,5.000000069,
19,1,170.0000003,62.00000048,100.0000015,173.0000031,5.000000069,Straightforward
20,2,158.0000003,67.00000018,127.9999971,320.0000073,1.199999955,
21,2,161.0321424,49.99999985,132.250002,902.9999943,2.000000048,I am cute
22,1,165.0000001,50.0000003,115.0000006,209.0000073,9.59000034,Homo sapiens
23,2,169.9999997,56.9999997,132.250002,540.0749872,2.087827188,
24,2,167.9999996,53.02702668,132.250002,579.9999893,2.087827188,I am quite.
25,2,165.0000005,53.02702668,130.0000042,542.0000075,2.087827188,Beautiful
26,2,163.9999995,52.00000027,180.0000012,299.9999904,1.000000024,Beautiful and smart
27,2,167.9999996,55.00000009,180.0000012,299.9999904,2.087827188,
28,2,161.0321424,59.99999952,200,160.0000041,2.087827188,Brilliant
29,1,168.0000004,53.00000012,100.0000015,300.0000079,2.500000034,Work hard play hard
30,2,163.0000005,52.00000027,132.250002,1199.999959,2.087827188,Q
31,1,175,74.99999881,50,199.9999977,0.999999995,I am so handsome
32,1,169.0000004,74.99999881,122.2923055,0,2.79155239,I just wanna run.
